"","x"
"1","chr1-100006023-100006948"
"2","chr1-100010029-100011104"
"3","chr1-100028497-100029412"
"4","chr1-100037653-100038475"
"5","chr1-100038722-100039427"
"6","chr1-1000452-1001136"
"7","chr1-100045904-100046592"
"8","chr1-100046633-100047427"
"9","chr1-100132562-100133467"
"10","chr1-1001663-1002460"
"11","chr1-100200023-100200884"
"12","chr1-100249449-100250333"
"13","chr1-100265759-100266670"
"14","chr1-100277546-100278479"
"15","chr1-100351298-100351969"
"16","chr1-100352087-100352757"
"17","chr1-100386091-100387045"
"18","chr1-100390255-100391072"
"19","chr1-100391496-100392328"
"20","chr1-100393939-100394756"
"21","chr1-100396423-100397268"
"22","chr1-100397612-100398379"
"23","chr1-100400127-100401047"
"24","chr1-100414425-100415340"
"25","chr1-100423699-100424553"
"26","chr1-100431566-100432602"
"27","chr1-100439895-100440797"
"28","chr1-100441427-100442347"
"29","chr1-100443771-100444616"
"30","chr1-100445338-100446224"
"31","chr1-100452352-100453259"
"32","chr1-100455300-100456245"
"33","chr1-100459248-100460126"
"34","chr1-100463528-100464404"
"35","chr1-100466020-100466922"
"36","chr1-100475448-100476385"
"37","chr1-1005755-1006593"
"38","chr1-1013033-1013944"
"39","chr1-10152364-10153456"
"40","chr1-10188297-10189179"
"41","chr1-10189442-10190295"
"42","chr1-1019182-1020021"
"43","chr1-10210010-10210913"
"44","chr1-10307676-10308593"
"45","chr1-10324407-10325295"
"46","chr1-1032757-1033649"
"47","chr1-10337787-10338750"
"48","chr1-1040430-1041344"
"49","chr1-1059176-1060059"
"50","chr1-1063772-1064674"
"51","chr1-1068848-1069617"
"52","chr1-1079396-1080338"
"53","chr1-108827792-108828808"
"54","chr1-108876580-108877489"
"55","chr1-108897983-108899031"
"56","chr1-108956399-108957296"
"57","chr1-108960937-108961821"
"58","chr1-108962901-108963813"
"59","chr1-109041687-109042577"
"60","chr1-109075597-109076498"
"61","chr1-109090298-109091220"
"62","chr1-109099734-109100606"
"63","chr1-109112344-109113048"
"64","chr1-109113544-109114445"
"65","chr1-109532156-109532948"
"66","chr1-109546044-109546937"
"67","chr1-109548195-109549066"
"68","chr1-109603023-109603822"
"69","chr1-109615672-109616574"
"70","chr1-109617144-109618056"
"71","chr1-109619290-109620102"
"72","chr1-109620621-109621486"
"73","chr1-109630061-109630946"
"74","chr1-109639961-109640877"
"75","chr1-109643085-109643974"
"76","chr1-109655714-109656649"
"77","chr1-109665873-109666777"
"78","chr1-109667603-109668489"
"79","chr1-109687333-109688215"
"80","chr1-109711901-109712888"
"81","chr1-1098847-1099729"
"82","chr1-109905898-109906798"
"83","chr1-109910330-109911185"
"84","chr1-109984250-109985146"
"85","chr1-110003506-110004658"
"86","chr1-110011320-110012215"
"87","chr1-110029322-110030208"
"88","chr1-110030808-110031644"
"89","chr1-110034197-110035040"
"90","chr1-110053512-110054428"
"91","chr1-110059633-110060686"
"92","chr1-110070271-110071017"
"93","chr1-110083707-110084160"
"94","chr1-110084305-110085171"
"95","chr1-110087912-110088721"
"96","chr1-110105806-110106772"
"97","chr1-1106496-1107473"
"98","chr1-1115786-1116701"
"99","chr1-1121840-1122751"
"100","chr1-112880525-112881520"
"101","chr1-112894194-112895190"
"102","chr1-112923271-112924413"
"103","chr1-112955861-112956733"
"104","chr1-112957327-112958054"
"105","chr1-1136914-1137777"
"106","chr1-113849572-113850470"
"107","chr1-113871358-113872216"
"108","chr1-113873964-113874896"
"109","chr1-113904653-113905563"
"110","chr1-113912526-113913427"
"111","chr1-113929023-113929942"
"112","chr1-113930123-113931039"
"113","chr1-113931636-113932157"
"114","chr1-113940303-113941204"
"115","chr1-113946953-113947806"
"116","chr1-113949000-113949828"
"117","chr1-113972772-113973641"
"118","chr1-113978705-113979634"
"119","chr1-113993090-113994247"
"120","chr1-1143862-1144772"
"121","chr1-114482444-114483293"
"122","chr1-114510766-114511691"
"123","chr1-114581244-114582156"
"124","chr1-114669673-114670570"
"125","chr1-114710831-114711738"
"126","chr1-114716341-114717212"
"127","chr1-114755781-114756474"
"128","chr1-114757414-114758318"
"129","chr1-114764602-114765504"
"130","chr1-114775050-114775796"
"131","chr1-114780230-114781149"
"132","chr1-114792216-114793061"
"133","chr1-1157270-1158024"
"134","chr1-116667129-116668095"
"135","chr1-116672147-116673183"
"136","chr1-116724505-116725400"
"137","chr1-116737308-116738217"
"138","chr1-116738708-116739502"
"139","chr1-116750753-116751749"
"140","chr1-116752896-116753682"
"141","chr1-116753936-116754804"
"142","chr1-116763049-116763848"
"143","chr1-116764260-116765159"
"144","chr1-116766549-116767468"
"145","chr1-116769386-116770287"
"146","chr1-116770745-116771314"
"147","chr1-116799229-116800128"
"148","chr1-116805993-116806897"
"149","chr1-116808623-116809377"
"150","chr1-116810205-116811040"
"151","chr1-116816188-116817059"
"152","chr1-116817457-116818272"
"153","chr1-116825792-116826559"
"154","chr1-116826935-116827869"
"155","chr1-1171563-1172496"
"156","chr1-1173393-1174317"
"157","chr1-1182363-1183275"
"158","chr1-1196491-1197402"
"159","chr1-1201079-1201961"
"160","chr1-1206235-1207119"
"161","chr1-1207875-1208707"
"162","chr1-1212701-1213452"
"163","chr1-1213626-1214273"
"164","chr1-145690465-145691434"
"165","chr1-145720876-145721796"
"166","chr1-145764131-145765029"
"167","chr1-145823595-145824512"
"168","chr1-145845318-145846179"
"169","chr1-145849050-145850065"
"170","chr1-145858497-145859370"
"171","chr1-145859741-145860360"
"172","chr1-145866285-145867305"
"173","chr1-145871846-145872723"
"174","chr1-145885553-145886468"
"175","chr1-145891281-145892462"
"176","chr1-145909798-145910665"
"177","chr1-145918387-145919293"
"178","chr1-148038278-148039193"
"179","chr1-148060590-148061375"
"180","chr1-148151771-148152628"
"181","chr1-148159486-148160524"
"182","chr1-148679232-148680136"
"183","chr1-148948450-148949357"
"184","chr1-148951779-148952662"
"185","chr1-150149432-150150357"
"186","chr1-150151176-150152008"
"187","chr1-150162762-150163761"
"188","chr1-150165692-150166598"
"189","chr1-150168637-150169586"
"190","chr1-150186778-150187744"
"191","chr1-150213297-150214186"
"192","chr1-150221309-150222296"
"193","chr1-150234282-150235129"
"194","chr1-150235743-150236640"
"195","chr1-150255486-150256223"
"196","chr1-150268563-150269404"
"197","chr1-150281927-150282767"
"198","chr1-150293416-150294298"
"199","chr1-150321019-150321939"
"200","chr1-1504545-1505577"
"201","chr1-150850605-150851505"
"202","chr1-150874333-150875208"
"203","chr1-150876224-150877128"
"204","chr1-150922121-150923072"
"205","chr1-150925818-150926710"
"206","chr1-150974339-150975239"
"207","chr1-150977022-150977907"
"208","chr1-150979140-150980049"
"209","chr1-150995678-150996572"
"210","chr1-151006288-151007050"
"211","chr1-151007911-151008806"
"212","chr1-151024274-151025185"
"213","chr1-151047517-151048076"
"214","chr1-151048193-151048866"
"215","chr1-151057363-151058281"
"216","chr1-151059162-151060070"
"217","chr1-151070404-151070921"
"218","chr1-151071014-151071309"
"219","chr1-151099528-151100424"
"220","chr1-151130977-151131880"
"221","chr1-151132639-151133573"
"222","chr1-151146275-151147181"
"223","chr1-1511544-1512445"
"224","chr1-151155830-151156670"
"225","chr1-151157198-151157845"
"226","chr1-151165577-151166475"
"227","chr1-1518047-1518972"
"228","chr1-151933741-151934647"
"229","chr1-151941063-151941982"
"230","chr1-151945491-151946337"
"231","chr1-151967742-151968636"
"232","chr1-151972717-151973604"
"233","chr1-151984066-151984899"
"234","chr1-1519869-1520527"
"235","chr1-151993575-151994402"
"236","chr1-151996623-151997474"
"237","chr1-152001447-152002365"
"238","chr1-152006352-152007048"
"239","chr1-152013471-152014317"
"240","chr1-152034746-152035528"
"241","chr1-152036582-152037440"
"242","chr1-152047795-152048700"
"243","chr1-152052328-152053199"
"244","chr1-152110029-152110777"
"245","chr1-152110947-152111919"
"246","chr1-1524719-1525687"
"247","chr1-153465538-153466378"
"248","chr1-153490694-153491545"
"249","chr1-153494732-153495562"
"250","chr1-153509352-153510201"
"251","chr1-153510671-153511635"
"252","chr1-153531797-153532555"
"253","chr1-153532989-153533744"
"254","chr1-153535723-153536608"
"255","chr1-153540559-153541430"
"256","chr1-153544918-153545628"
"257","chr1-153545745-153546057"
"258","chr1-153566247-153567071"
"259","chr1-153568267-153569149"
"260","chr1-153574766-153575733"
"261","chr1-153598463-153599411"
"262","chr1-153617308-153618309"
"263","chr1-153633662-153634617"
"264","chr1-1540168-1541051"
"265","chr1-155590379-155591191"
"266","chr1-155591594-155592461"
"267","chr1-155609633-155610533"
"268","chr1-155637097-155637941"
"269","chr1-155688320-155689226"
"270","chr1-155728940-155729848"
"271","chr1-155745167-155746079"
"272","chr1-155836301-155837096"
"273","chr1-155847463-155848340"
"274","chr1-155856798-155857709"
"275","chr1-155859032-155859877"
"276","chr1-155860135-155860928"
"277","chr1-155867648-155868248"
"278","chr1-155893431-155894352"
"279","chr1-155910932-155911817"
"280","chr1-155934010-155934912"
"281","chr1-155945929-155946820"
"282","chr1-155961656-155962532"
"283","chr1-155966264-155967130"
"284","chr1-155967403-155968420"
"285","chr1-155976184-155976988"
"286","chr1-155978138-155978887"
"287","chr1-156066052-156066905"
"288","chr1-156082223-156083073"
"289","chr1-156090444-156091352"
"290","chr1-156096672-156097558"
"291","chr1-156103793-156104567"
"292","chr1-156105964-156106860"
"293","chr1-156114098-156114995"
"294","chr1-156119420-156120211"
"295","chr1-156123363-156124120"
"296","chr1-156124503-156125395"
"297","chr1-156125920-156126628"
"298","chr1-156126895-156127800"
"299","chr1-156130011-156130913"
"300","chr1-156145756-156146610"
"301","chr1-156160712-156161594"
"302","chr1-156193534-156194442"
"303","chr1-156212654-156213558"
"304","chr1-156217645-156218538"
"305","chr1-156222687-156223574"
"306","chr1-156225153-156226036"
"307","chr1-156245327-156246162"
"308","chr1-1574352-1575262"
"309","chr1-1578166-1578976"
"310","chr1-15791752-15792921"
"311","chr1-15815194-15816152"
"312","chr1-15828700-15829671"
"313","chr1-15832986-15833696"
"314","chr1-15834303-15835159"
"315","chr1-15835622-15836465"
"316","chr1-15836957-15837676"
"317","chr1-15847254-15848163"
"318","chr1-15849306-15849995"
"319","chr1-15853443-15854150"
"320","chr1-15860189-15861068"
"321","chr1-15876008-15876935"
"322","chr1-15878794-15879613"
"323","chr1-15885933-15886772"
"324","chr1-158932136-158932909"
"325","chr1-158961520-158962606"
"326","chr1-158978510-158979412"
"327","chr1-158996079-158996984"
"328","chr1-158998367-158999236"
"329","chr1-159008461-159009221"
"330","chr1-159009479-159010339"
"331","chr1-159012302-159013159"
"332","chr1-159015235-159016138"
"333","chr1-159030545-159031380"
"334","chr1-159046353-159047188"
"335","chr1-159067853-159068686"
"336","chr1-159071745-159072585"
"337","chr1-159076620-159077550"
"338","chr1-159088859-159089841"
"339","chr1-159131890-159133118"
"340","chr1-15919082-15920302"
"341","chr1-15949300-15950201"
"342","chr1-15950873-15951622"
"343","chr1-15958405-15959424"
"344","chr1-15965888-15966793"
"345","chr1-15975515-15976386"
"346","chr1-159936080-159937033"
"347","chr1-15994122-15995071"
"348","chr1-159945291-159946179"
"349","chr1-1599508-1600442"
"350","chr1-159977385-159978169"
"351","chr1-160006027-160006889"
"352","chr1-160009036-160009968"
"353","chr1-160031483-160032361"
"354","chr1-160046363-160047274"
"355","chr1-160069931-160070846"
"356","chr1-160078303-160079173"
"357","chr1-16008201-16009659"
"358","chr1-160083745-160084660"
"359","chr1-160085446-160086317"
"360","chr1-160098386-160099316"
"361","chr1-160100764-160101666"
"362","chr1-160122699-160123702"
"363","chr1-1606899-1607622"
"364","chr1-161020813-161021690"
"365","chr1-161038447-161039361"
"366","chr1-161041241-161042122"
"367","chr1-161045540-161046404"
"368","chr1-161059894-161060727"
"369","chr1-161066447-161067259"
"370","chr1-161068033-161068923"
"371","chr1-161069560-161070455"
"372","chr1-161071671-161072512"
"373","chr1-161079305-161080372"
"374","chr1-161083239-161084153"
"375","chr1-161097475-161098077"
"376","chr1-161098184-161098644"
"377","chr1-161115113-161115954"
"378","chr1-161117547-161118420"
"379","chr1-161119441-161120332"
"380","chr1-161132227-161133151"
"381","chr1-161139587-161140506"
"382","chr1-161153493-161154394"
"383","chr1-161159041-161159947"
"384","chr1-161165834-161166705"
"385","chr1-161177022-161177906"
"386","chr1-161181998-161182886"
"387","chr1-161185079-161185993"
"388","chr1-161190612-161191540"
"389","chr1-161192273-161193147"
"390","chr1-161201850-161202759"
"391","chr1-161209540-161210449"
"392","chr1-1615034-1615862"
"393","chr1-162458966-162459892"
"394","chr1-162497454-162498327"
"395","chr1-162561084-162561986"
"396","chr1-162613337-162614164"
"397","chr1-1629710-1630657"
"398","chr1-1636360-1637295"
"399","chr1-1639132-1639962"
"400","chr1-1644536-1645420"
"401","chr1-1658668-1659580"
"402","chr1-1665375-1666241"
"403","chr1-1677494-1678395"
"404","chr1-1678629-1679582"
"405","chr1-170531712-170532646"
"406","chr1-170562823-170563490"
"407","chr1-17335852-17336716"
"408","chr1-173714593-173715492"
"409","chr1-173824164-173825076"
"410","chr1-17386272-17387246"
"411","chr1-17405877-17406787"
"412","chr1-17419501-17420419"
"413","chr1-17437407-17438198"
"414","chr1-17438337-17438800"
"415","chr1-17439395-17440301"
"416","chr1-17494043-17495073"
"417","chr1-179002431-179003359"
"418","chr1-179025577-179026464"
"419","chr1-179034424-179035251"
"420","chr1-179036884-179037815"
"421","chr1-179046762-179047672"
"422","chr1-179078882-179079765"
"423","chr1-179081547-179082418"
"424","chr1-179129379-179130295"
"425","chr1-179229262-179230120"
"426","chr1-179293293-179294186"
"427","chr1-179298686-179299578"
"428","chr1-179317188-179318103"
"429","chr1-182588588-182589500"
"430","chr1-182595369-182596310"
"431","chr1-182598974-182599928"
"432","chr1-182601163-182602088"
"433","chr1-182603966-182604872"
"434","chr1-182614567-182615260"
"435","chr1-182615791-182616697"
"436","chr1-182629434-182630348"
"437","chr1-183543339-183544227"
"438","chr1-183590274-183591108"
"439","chr1-183622952-183623960"
"440","chr1-183633424-183634262"
"441","chr1-183635454-183636368"
"442","chr1-183651913-183653350"
"443","chr1-183655272-183656152"
"444","chr1-185044974-185045851"
"445","chr1-185068772-185069695"
"446","chr1-185156711-185157637"
"447","chr1-185170059-185171069"
"448","chr1-185281001-185281889"
"449","chr1-185315819-185316500"
"450","chr1-185317037-185317879"
"451","chr1-185321576-185322425"
"452","chr1-185338677-185339503"
"453","chr1-185358508-185359406"
"454","chr1-202134926-202135845"
"455","chr1-202144253-202145053"
"456","chr1-202154801-202155551"
"457","chr1-202160205-202160982"
"458","chr1-202161851-202162645"
"459","chr1-202164458-202165359"
"460","chr1-202165802-202166330"
"461","chr1-202171469-202172354"
"462","chr1-202184476-202185349"
"463","chr1-202188659-202189564"
"464","chr1-202192502-202193369"
"465","chr1-202197403-202198317"
"466","chr1-202203543-202204440"
